"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-395 0.570248705886029 2 5 "GO:0006108" "malate metabolic process" 0.931454341867509
-180 0.464365373967959 5 40 "GO:0006109" "regulation of carbohydrate metabolic process" 0.889991966314376
-313 0.406490776629213 4 17 "GO:0006110;GO:0043470" "regulation of carbohydrate catabolic process" 0.878993812391672
-362 0.461670814794434 2 10 "GO:0006111" "regulation of gluconeogenesis" 0.889991966314376
-714 0.194389930957941 3 8 "GO:0006119" "oxidative phosphorylation" 0.804445396885055
-259 0.580754797242147 3 11 "GO:0006120" "mitochondrial electron transport, NADH to ubiquinone" 0.934153937654182
-220 0.488337232533758 2 24 "GO:0006140" "regulation of nucleotide metabolic process" 0.893770874679203
-500 0.173033600369375 4 18 "GO:0006144" "purine nucleobase metabolic process" 0.788026852430008
-683 0.214011241228977 2 8 "GO:0006145" "purine nucleobase catabolic process" 0.810938526090533
-646 0.00412377770985143 5 48 "GO:0006165;GO:0009132;GO:0046939" "nucleoside diphosphate metabolic process" 0.234394006546722
-704 0.267679159267891 3 6 "GO:0006167" "AMP biosynthetic process" 0.847071768270434
327 0.527858428582174 4 9 "GO:0006183;GO:0006228;GO:0046051" "UTP metabolic process" 0.911895228828599
-261 0.657674487698037 3 7 "GO:0006188;GO:0046040" "IMP biosynthetic process" 0.960716752709661
-215 0.757407056355754 4 5 "GO:0006189" "'de novo' IMP biosynthetic process" 0.972191552623681
-766 0.0490722414853603 2 16 "GO:0006195" "purine nucleotide catabolic process" 0.623256106424301
-718 0.302060801182906 7 5 "GO:0006203;GO:0009155;GO:0009217;GO:0046070;GO:0009146;GO:0046061" "dGTP metabolic process" 0.859762413724234
465 0.217803698460292 4 17 "GO:0006206" "pyrimidine nucleobase metabolic process" 0.810938526090533
574 0.329283100206611 2 7 "GO:0006207;GO:0019856" "pyrimidine nucleobase biosynthetic process" 0.869997773355059
413 0.320431930101897 2 14 "GO:0006213" "pyrimidine nucleoside metabolic process" 0.864308868318328
885 0.132430842754671 4 7 "GO:0006222;GO:0009174;GO:0046049;GO:0009173" "UMP metabolic process" 0.749224547190351
742 0.11376352335695 7 11 "GO:0006241;GO:0009209;GO:0046036;GO:0009208" "pyrimidine ribonucleoside triphosphate metabolic process" 0.744424191378338
125 0.236462564438602 2 228 "GO:0006259" "DNA metabolic process" 0.821128345402508
450 0.0257282355673745 3 60 "GO:0006260" "DNA replication" 0.474819110656427
725 0.0328716679429716 6 21 "GO:0006261" "DNA-dependent DNA replication" 0.535843335475894
-540 0.395282993194591 5 6 "GO:0006265" "DNA topological change" 0.875812456075378
-347 0.584705674192551 2 6 "GO:0006266;GO:0051103" "DNA ligation" 0.934153937654182
-731 0.183959679439262 7 8 "GO:0006268" "DNA unwinding involved in DNA replication" 0.800815080667849
-87 0.874556743076976 2 8 "GO:0006270" "DNA replication initiation" 0.985500292252112
337 0.188126935502476 7 37 "GO:0006275" "regulation of DNA replication" 0.800815080667849
37 0.767038520001851 5 156 "GO:0006281" "DNA repair" 0.975351306868731
378 0.130205229993741 2 39 "GO:0006282" "regulation of DNA repair" 0.749224547190351
854 0.0400725209904884 3 14 "GO:0006283" "transcription-coupled nucleotide-excision repair" 0.579703823835496
19 0.961904832465789 2 16 "GO:0006284" "base-excision repair" 0.995848162381776
320 0.345666628610815 2 21 "GO:0006289" "nucleotide-excision repair" 0.871018469660137
1028 0.139270000572664 2 5 "GO:0006296" "nucleotide-excision repair, DNA incision, 5'-to lesion" 0.754527032390027
492 0.402674727851289 2 7 "GO:0006297" "nucleotide-excision repair, DNA gap filling" 0.876537565484655
-663 0.201093988673131 2 9 "GO:0006298" "mismatch repair" 0.804445396885055
-182 0.391993998889172 2 54 "GO:0006302" "double-strand break repair" 0.87237376016788
53 0.897999578046808 3 14 "GO:0006303;GO:0000726" "double-strand break repair via nonhomologous end joining" 0.988849814733615
338 0.308321419870733 5 22 "GO:0006304" "DNA modification" 0.861282998314988
184 0.635723163824029 2 16 "GO:0006306;GO:0006305;GO:0044728" "DNA methylation or demethylation" 0.952695216699338
421 0.391632760528771 3 10 "GO:0006309;GO:0000737;GO:0006308" "DNA catabolic process" 0.87237376016788
-180 0.376853684020111 2 59 "GO:0006310" "DNA recombination" 0.87237376016788
201 0.0712505043020012 2 203 "GO:0006325" "chromatin organization" 0.664318285775306
385 0.338537689665168 3 15 "GO:0006333" "chromatin assembly or disassembly" 0.871018469660137
253 0.43511886235158 2 23 "GO:0006334" "nucleosome assembly" 0.889187146471236
289 0.623380779544095 4 7 "GO:0006336;GO:0034724" "DNA replication-independent nucleosome organization" 0.946365362263177
-336 0.516693728661219 4 9 "GO:0006337;GO:0032986" "protein-DNA complex disassembly" 0.90737831718078
326 0.132588961516541 3 52 "GO:0006338" "chromatin remodeling" 0.749224547190351
422 0.214378746153124 7 21 "GO:0006342;GO:0045814;GO:0097549;GO:0034401" "negative regulation of gene expression, epigenetic" 0.810938526090533
186 0.227283203094588 3 104 "GO:0006351;GO:0097659" "transcription, DNA-templated" 0.811934167082376
236 0.432000084227284 2 27 "GO:0006352" "DNA-templated transcription, initiation" 0.886542122211041
468 0.244083789648767 2 15 "GO:0006353" "DNA-templated transcription, termination" 0.828620812977143
1221 0.00466724658761235 2 13 "GO:0006356" "regulation of transcription by RNA polymerase I" 0.235650784118099
-1 0.987690053728074 4 402 "GO:0006357" "regulation of transcription by RNA polymerase II" 0.998604977696594
749 0.238350266673845 2 6 "GO:0006360" "transcription by RNA polymerase I" 0.822497464382836
418 0.00681841672438871 2 103 "GO:0006364;GO:0016072" "rRNA metabolic process" 0.274952654410975
216 0.283860062475068 2 60 "GO:0006366" "transcription by RNA polymerase II" 0.850262359837112
392 0.285394744649783 3 18 "GO:0006367" "transcription initiation from RNA polymerase II promoter" 0.852047337946807
-184 0.57010136551237 2 23 "GO:0006368;GO:0006354" "transcription elongation from RNA polymerase II promoter" 0.931454341867509
881 0.134192687162071 3 7 "GO:0006369" "termination of RNA polymerase II transcription" 0.749224547190351
662 0.260086068190678 8 7 "GO:0006370;GO:0009452;GO:0036260" "7-methylguanosine RNA capping" 0.838891530614085
838 0.0521492334227492 3 13 "GO:0006376" "mRNA splice site selection" 0.626700781048411
751 0.0617107028042159 7 15 "GO:0006379" "mRNA cleavage" 0.645432445484496
643 0.273712411541911 4 7 "GO:0006382;GO:0016553;GO:0044387" "adenosine to inosine editing" 0.848798442853628
452 0.294865599365048 2 13 "GO:0006383" "transcription by RNA polymerase III" 0.856969750947428
403 4.75971432360773e-07 2 409 "GO:0006396" "RNA processing" 0.00153548384079585
392 0.000102677373693804 2 249 "GO:0006397;GO:0008380" "mRNA processing" 0.0301124734123829
104 0.534025476175828 2 88 "GO:0006399" "tRNA metabolic process" 0.914092786140353
247 0.349580405707133 3 35 "GO:0006400" "tRNA modification" 0.871018469660137
196 0.252591448158415 3 84 "GO:0006402;GO:0006401;GO:0000956" "RNA catabolic process" 0.832114898678971
-482 0.230291309014375 3 15 "GO:0006403" "RNA localization" 0.811934167082376
156 0.396097119216044 5 72 "GO:0006405;GO:0051168" "nuclear export" 0.875919363109079
339 0.153707261420157 2 43 "GO:0006406" "mRNA export from nucleus" 0.766513801548312
-22 0.835340773647288 2 221 "GO:0006412;GO:0043043;GO:0043604" "amide biosynthetic process" 0.982676277590505
-305 0.283553425731637 3 30 "GO:0006413" "translational initiation" 0.850262359837112
150 0.592275599502266 3 31 "GO:0006414" "translational elongation" 0.936984714918575
632 0.223258044199082 5 9 "GO:0006415" "translational termination" 0.811934167082376
-6 0.958316070837293 3 201 "GO:0006417;GO:0010608;GO:0034248" "posttranscriptional regulation of gene expression" 0.995848162381776
-336 0.245843232520063 8 29 "GO:0006418;GO:0043039;GO:0043038" "tRNA aminoacylation" 0.83035476669948
114 0.694094790233022 2 29 "GO:0006446" "regulation of translational initiation" 0.967133082814301
-955 0.169704638081485 2 5 "GO:0006448" "regulation of translational elongation" 0.779867752779018
-302 0.582713178978081 2 8 "GO:0006450" "regulation of translational fidelity" 0.934153937654182
-277 0.0626818305694662 2 111 "GO:0006457" "protein folding" 0.645432445484496
1269 0.0455971349923959 2 6 "GO:0006465" "signal peptide processing" 0.605090503294395
12 0.921262059543221 3 176 "GO:0006468" "protein phosphorylation" 0.99328594169326
-314 0.126223222083325 7 58 "GO:0006469;GO:0033673" "negative regulation of kinase activity" 0.749224547190351
-594 0.000223677166876545 6 95 "GO:0006470;GO:0016311" "dephosphorylation" 0.0481055026895823
-523 0.12390594617638 2 21 "GO:0006471;GO:0070212" "protein ADP-ribosylation" 0.749224547190351
178 0.403087881381139 3 54 "GO:0006473;GO:0043543" "protein acylation" 0.876845249720536
467 0.427180519476407 2 7 "GO:0006474" "N-terminal protein amino acid acetylation" 0.886542122211041
238 0.205416199960027 2 69 "GO:0006486;GO:0043413;GO:0070085" "glycosylation" 0.808897739144783
-276 0.451953345496954 3 18 "GO:0006487" "protein N-linked glycosylation" 0.889991966314376
-223 0.704593441836687 2 7 "GO:0006491" "N-glycan processing" 0.970140393685084
394 0.234958252294454 2 22 "GO:0006493" "protein O-linked glycosylation" 0.818904390395299
-138 0.70020124778368 2 19 "GO:0006497" "protein lipidation" 0.969463186845559
-169 0.80825577339658 2 5 "GO:0006501" "C-terminal protein lipidation" 0.980760335505261
-61 0.455587922242421 4 392 "GO:0006508" "proteolysis" 0.889991966314376
-182 0.757472712009161 2 7 "GO:0006509;GO:0033619" "membrane protein ectodomain proteolysis" 0.972191552623681
-52 0.597557184835389 2 265 "GO:0006511;GO:0019941;GO:0043632;GO:0051603" "proteolysis involved in cellular protein catabolic process" 0.938976852546987
185 0.635148817224224 5 16 "GO:0006513" "protein monoubiquitination" 0.952695216699338
462 0.304046154152676 2 12 "GO:0006515" "protein quality control for misfolded or incompletely synthesized proteins" 0.861282998314988
-570 0.332065419219439 5 7 "GO:0006516" "glycoprotein catabolic process" 0.870805286348269
-425 0.412732128919518 2 9 "GO:0006517" "protein deglycosylation" 0.88356322493948
41 0.690338426488553 4 244 "GO:0006518" "peptide metabolic process" 0.967133082814301
400 0.466813472627598 2 8 "GO:0006525" "arginine metabolic process" 0.889991966314376
-408 0.364049103350893 2 12 "GO:0006534" "cysteine metabolic process" 0.87237376016788
-798 0.0140518535692782 2 23 "GO:0006536" "glutamate metabolic process" 0.39499024723335
-272 0.458556868072287 2 18 "GO:0006541" "glutamine metabolic process" 0.889991966314376
-776 0.0536372235711799 5 15 "GO:0006544" "glycine metabolic process" 0.626700781048411
-844 0.224653162408878 2 5 "GO:0006545" "glycine biosynthetic process" 0.811934167082376
-278 0.636172337703611 5 7 "GO:0006548;GO:0006547;GO:0052805;GO:0052803" "histidine metabolic process" 0.952695216699338
226 0.681561215185474 2 8 "GO:0006552;GO:0006551" "leucine metabolic process" 0.963610436687005
-1305 0.026418025244789 3 7 "GO:0006554;GO:0006553" "lysine catabolic process" 0.47878960359376
-406 0.489354913164299 6 7 "GO:0006559;GO:0006558;GO:1902222;GO:1902221;GO:0006570" "L-phenylalanine metabolic process" 0.893770874679203
-547 0.352091257350424 2 7 "GO:0006560" "proline metabolic process" 0.872319563264252
-583 0.236280325661321 8 10 "GO:0006563" "L-serine metabolic process" 0.821128345402508
-596 0.391605400442572 5 5 "GO:0006564" "L-serine biosynthetic process" 0.87237376016788
-860 0.117699318217507 6 8 "GO:0006567;GO:0006566" "threonine metabolic process" 0.744428971333217
-429 0.359970191722609 4 11 "GO:0006568;GO:0006586;GO:0042430" "indole-containing compound metabolic process" 0.87237376016788
29 0.95331068731349 6 10 "GO:0006569;GO:0046218;GO:0042436;GO:0070189" "tryptophan catabolic process" 0.995848162381776
85 0.902853015225025 2 5 "GO:0006572" "tyrosine catabolic process" 0.990355541657702
-1574 0.0236376341874538 4 5 "GO:0006573" "valine metabolic process" 0.464585967858808
8 0.96315131140997 2 75 "GO:0006575" "cellular modified amino acid metabolic process" 0.995848162381776
319 0.306211603145621 3 25 "GO:0006576;GO:0044106;GO:0009308" "amine metabolic process" 0.861282998314988
-476 0.309993027416906 3 11 "GO:0006577" "amino-acid betaine metabolic process" 0.861282998314988
-842 0.225974674008389 5 5 "GO:0006578" "amino-acid betaine biosynthetic process" 0.811934167082376
192 0.782494255783777 2 5 "GO:0006584;GO:0009712" "catecholamine metabolic process" 0.975778147430469
578 0.325437251169189 6 7 "GO:0006595" "polyamine metabolic process" 0.866978632040366
-192 0.311337676839847 5 68 "GO:0006605" "protein targeting" 0.861282998314988
104 0.612887297029414 5 58 "GO:0006606;GO:0034504;GO:0051170" "protein localization to nucleus" 0.941792254398205
-156 0.76329969647792 2 9 "GO:0006607" "NLS-bearing protein import into nucleus" 0.97289799321919
-134 0.67403445121614 2 24 "GO:0006611" "protein export from nucleus" 0.962025435846265
-159 0.617546202801755 6 24 "GO:0006612" "protein targeting to membrane" 0.943113706176472
-345 0.442466951438066 2 12 "GO:0006613;GO:0006614" "cotranslational protein targeting to membrane" 0.889991966314376
39 0.955234098468658 6 5 "GO:0006616" "SRP-dependent cotranslational protein targeting to membrane, translocation" 0.995848162381776
-149 0.786555583443343 3 8 "GO:0006622" "protein targeting to lysosome" 0.975778147430469
143 0.713825813423972 2 16 "GO:0006623" "protein targeting to vacuole" 0.971492309298927
-420 0.417894226010812 2 9 "GO:0006626" "protein targeting to mitochondrion" 0.886542122211041
-540 0.437516936056619 2 5 "GO:0006627" "protein processing involved in protein targeting to mitochondrion" 0.889991966314376
-114 0.184819651978051 2 347 "GO:0006629" "lipid metabolic process" 0.800815080667849
-90 0.521669486866648 3 126 "GO:0006631" "fatty acid metabolic process" 0.909941463855249
92 0.710051611922455 3 40 "GO:0006633" "fatty acid biosynthetic process" 0.970997002590188
-787 0.00163416757090587 3 39 "GO:0006635;GO:0019395;GO:0034440" "fatty acid oxidation" 0.151428592544338
80 0.900028251650092 4 6 "GO:0006636" "unsaturated fatty acid biosynthetic process" 0.989259150886367
-782 0.00173678174957858 6 39 "GO:0006637;GO:0035383" "acyl-CoA metabolic process" 0.151428592544338
-221 0.558485951586253 4 17 "GO:0006639;GO:0006638" "acylglycerol metabolic process" 0.924779974044779
-75 0.872640319246789 2 11 "GO:0006641" "triglyceride metabolic process" 0.985500292252112
-595 0.348656231315415 2 6 "GO:0006656" "phosphatidylcholine biosynthetic process" 0.871018469660137
143 0.794621344514222 3 8 "GO:0006661" "phosphatidylinositol biosynthetic process" 0.976554243001882
66 0.838703548676201 2 23 "GO:0006664;GO:1903509" "liposaccharide metabolic process" 0.982676277590505
158 0.516284460548653 2 41 "GO:0006665;GO:0006643" "membrane lipid metabolic process" 0.90737831718078
242 0.46684621212655 2 22 "GO:0006672" "ceramide metabolic process" 0.889991966314376
297 0.43140417329867 2 17 "GO:0006687" "glycosphingolipid metabolic process" 0.886542122211041
194 0.741237232368968 3 7 "GO:0006689;GO:0001573" "ganglioside catabolic process" 0.972191552623681
-263 0.292816254908531 2 39 "GO:0006690;GO:1901568" "fatty acid derivative metabolic process" 0.854868895648402
-1936 0.00536900041956902 2 5 "GO:0006691" "leukotriene metabolic process" 0.242637317754069
9 0.981107603957225 3 16 "GO:0006693;GO:0006692" "prostanoid metabolic process" 0.996485634016242
194 0.488866567453941 2 31 "GO:0006694" "steroid biosynthetic process" 0.893770874679203
1082 0.0656029317875667 3 7 "GO:0006695;GO:1902653" "cholesterol biosynthetic process" 0.646352523373236
-377 0.520914260072434 4 7 "GO:0006699;GO:0008206" "bile acid metabolic process" 0.909837251214766
920 0.0942645190889384 3 8 "GO:0006706" "steroid catabolic process" 0.703786791915337
-8 0.978479144018675 2 30 "GO:0006720" "isoprenoid metabolic process" 0.996485634016242
-920 0.0148434387468898 3 17 "GO:0006730" "one-carbon metabolic process" 0.405804520317513
-114 0.430045042926031 2 119 "GO:0006732" "coenzyme metabolic process" 0.886542122211041
843 0.00420645310029223 5 28 "GO:0006733" "oxidoreduction coenzyme metabolic process" 0.234394006546722
-894 0.0382351837809456 2 13 "GO:0006734" "NADH metabolic process" 0.568417985609818
-1147 0.0370366375175663 2 8 "GO:0006735" "NADH regeneration" 0.563585814300325
